lat,lon
-53,-180
-21,-180
13,-180
45,-180
81,-180
-57,-179
-25,-179
8,-179
40,-179
74,-179
-64,-178
-32,-178
1,-178
33,-178
65,-178
-70,-177
-38,-177
-6,-177
27,-177
60,-177
-75,-176
-43,-176
-11,-176
22,-176
54,-176
-81,-175
-49,-175
-17,-175
16,-175
48,-175
83,-175
-55,-174
-23,-174
10,-174
42,-174
77,-174
-61,-173
-29,-173
4,-173
36,-173
71,-173
-67,-172
-35,-172
-2,-172
31,-172
63,-172
-73,-171
-41,-171
-9,-171
24,-171
56,-171
-81,-170
-49,-170
-17,-170
16,-170
48,-170
80,-170
-58,-169
-26,-169
7,-169
39,-169
71,-169
-68,-168
-36,-168
-4,-168
29,-168
61,-168
-78,-167
-46,-167
-14,-167
19,-167
51,-167
85,-167
-54,-166
-22,-166
11,-166
43,-166
79,-166
-60,-165
-28,-165
5,-165
37,-165
76,-165
-63,-164
-31,-164
2,-164
34,-164
74,-164
-65,-163
-33,-163
-1,-163
32,-163
72,-163
-67,-162
-35,-162
-3,-162
30,-162
73,-162
-66,-161
-34,-161
-2,-161
31,-161
75,-161
-64,-160
-32,-160
1,-160
33,-160
77,-160
-62,-159
-30,-159
3,-159
35,-159
81,-159
-57,-158
-25,-158
8,-158
40,-158
-85,-157
-52,-157
-20,-157
13,-157
46,-157
-79,-156
-46,-156
-14,-156
19,-156
52,-156
-73,-155
-41,-155
-9,-155
24,-155
56,-155
-70,-154
-38,-154
-6,-154
27,-154
73,-154
-66,-153
-34,-153
-2,-153
31,-153
75,-153
-64,-152
-32,-152
1,-152
33,-152
75,-152
-63,-151
-31,-151
2,-151
34,-151
77,-151
-62,-150
-30,-150
3,-150
35,-150
78,-150
-61,-149
-29,-149
4,-149
36,-149
78,-149
-60,-148
-28,-148
5,-148
37,-148
79,-148
-60,-147
-28,-147
5,-147
37,-147
78,-147
-60,-146
-28,-146
5,-146
37,-146
79,-146
-58,-145
-26,-145
7,-145
39,-145
81,-145
-56,-144
-24,-144
9,-144
41,-144
83,-144
-55,-143
-23,-143
10,-143
42,-143
84,-143
-54,-142
-22,-142
11,-142
43,-142
84,-142
-54,-141
-22,-141
11,-141
43,-141
85,-141
-52,-140
-20,-140
13,-140
45,-140
-85,-139
-51,-139
-19,-139
14,-139
46,-139
-83,-138
-49,-138
-17,-138
16,-138
48,-138
-80,-137
-47,-137
-15,-137
18,-137
50,-137
-76,-136
-44,-136
-12,-136
21,-136
53,-136
-72,-135
-40,-135
-8,-135
25,-135
58,-135
-68,-134
-36,-134
-4,-134
29,-134
74,-134
-64,-133
-32,-133
1,-133
33,-133
80,-133
-58,-132
-26,-132
7,-132
39,-132
-84,-131
-50,-131
-18,-131
15,-131
47,-131
-75,-130
-43,-130
-11,-130
22,-130
71,-130
-67,-129
-35,-129
-3,-129
30,-129
80,-129
-58,-128
-26,-128
7,-128
39,-128
-80,-127
-45,-127
-13,-127
20,-127
72,-127
-65,-126
-33,-126
-1,-126
32,-126
84,-126
-53,-125
-21,-125
12,-125
44,-125
-71,-124
-39,-124
-7,-124
26,-124
-80,-123
-47,-123
-15,-123
18,-123
83,-123
-55,-122
-23,-122
10,-122
78,-122
-60,-121
-28,-121
5,-121
71,-121
-64,-120
-32,-120
1,-120
33,-120
-67,-119
-35,-119
-3,-119
30,-119
-67,-118
-35,-118
-3,-118
30,-118
-68,-117
-36,-117
-4,-117
29,-117
-63,-116
-31,-116
2,-116
78,-116
-60,-115
-28,-115
5,-115
82,-115
-56,-114
-24,-114
9,-114
85,-114
-53,-113
-21,-113
12,-113
-79,-112
-47,-112
-15,-112
18,-112
-70,-111
-38,-111
-6,-111
28,-111
-63,-110
-31,-110
2,-110
81,-110
-56,-109
-24,-109
9,-109
-81,-108
-49,-108
-17,-108
16,-108
-72,-107
-40,-107
-8,-107
75,-107
-60,-106
-28,-106
5,-106
-78,-105
-46,-105
-14,-105
19,-105
-64,-104
-32,-104
1,-104
84,-104
-50,-103
-18,-103
15,-103
-69,-102
-37,-102
-5,-102
83,-102
-53,-101
-21,-101
12,-101
-72,-100
-40,-100
-8,-100
80,-100
-57,-99
-25,-99
8,-99
-72,-98
-40,-98
-8,-98
80,-98
-55,-97
-23,-97
10,-97
-79,-96
-47,-96
-15,-96
21,-96
-71,-95
-39,-95
-7,-95
28,-95
-60,-94
-28,-94
5,-94
83,-94
-53,-93
-21,-93
12,-93
-79,-92
-47,-92
-15,-92
22,-92
-73,-91
-41,-91
-9,-91
29,-91
-66,-90
-34,-90
-2,-90
70,-90
-57,-89
-25,-89
8,-89
-83,-88
-48,-88
-16,-88
23,-88
-74,-87
-42,-87
-10,-87
27,-87
-72,-86
-40,-86
-8,-86
30,-86
-70,-85
-38,-85
-6,-85
60,-85
-62,-84
-30,-84
3,-84
84,-84
-53,-83
-21,-83
13,-83
-82,-82
-48,-82
-16,-82
18,-82
-81,-81
-48,-81
-16,-81
24,-81
-79,-80
-46,-80
-14,-80
30,-80
-79,-79
-46,-79
-14,-79
29,-79
-80,-78
-48,-78
-16,-78
44,-78
-71,-77
-39,-77
14,-77
78,-77
-56,-76
-24,-76
34,-76
-69,-75
-32,-75
27,-75
-79,-74
-34,-74
26,-74
-82,-73
-31,-73
30,-73
-76,-72
-22,-72
40,-72
-64,-71
27,-71
-80,-70
25,-70
-83,-69
21,-69
75,-69
-51,-68
42,-68
-62,-67
29,-67
81,-67
-47,-66
41,-66
-66,-65
18,-65
63,-65
-57,-64
29,-64
75,-64
-50,-63
35,-63
82,-63
-52,-62
29,-62
70,-62
-63,-61
18,-61
58,-61
-76,-60
-43,-60
37,-60
74,-60
-57,-59
22,-59
59,-59
-74,-58
-42,-58
34,-58
73,-58
-58,-57
16,-57
50,-57
-79,-56
-47,-56
27,-56
62,-56
-68,-55
-36,-55
38,-55
79,-55
-55,-54
17,-54
49,-54
-76,-53
-44,-53
26,-53
58,-53
-65,-52
-33,-52
35,-52
71,-52
-59,-51
6,-51
38,-51
85,-51
-53,-50
9,-50
41,-50
-79,-49
-47,-49
14,-49
46,-49
-75,-48
-43,-48
15,-48
47,-48
-73,-47
-41,-47
15,-47
47,-47
-74,-46
-42,-46
14,-46
46,-46
-77,-45
-45,-45
9,-45
41,-45
-82,-44
-50,-44
4,-44
36,-44
77,-44
-56,-43
-24,-43
30,-43
70,-43
-63,-42
-31,-42
21,-42
53,-42
-75,-41
-43,-41
8,-41
40,-41
79,-41
-53,-40
-21,-40
28,-40
60,-40
-66,-39
